id,Name,Map_Index,X,Y
48,院區大門,1.0,312165.6141163437,2770765.4763012654
5,生物醫學科學研究所,2.0,312014.58854297985,2770781.0833038767
7,環安衛小組,3.0,311845.22221647046,2770741.803831644
3,細胞個體生物研究所,4.0,311937.71903818013,2770835.567733103
6,分子生物研究所,5.0,311934.34015884827,2770737.580232479
8,生物化學研究所,6.0,311861.6942532133,2770683.095803253
4,國家動物中心,7.0,311865.91785237816,2770838.5242525185
2,跨領域大樓,8.0,311944.8991567603,2770907.7912788214
29,行政大樓,10.0,312176.3523909927,2770590.598981543
15,生物多樣性研究博物館,11.0,312148.8989964212,2770643.81633102
45,植物暨微生物學研究所,12.0,312082.36788022734,2770611.0637244936
28,資訊科技創新研究中心,13.0,312104.5512051906,2770566.1021063877
17,蔡元培紀念館,14.0,311973.1972711647,2770548.7853498105
18,統計所,15.0,311941.9426373448,2770509.0835176613
30,郵局/福利社,16.0,312212.6753438102,2770645.928130602
9,生物體研究中心,18.0,311991.35874757334,2770611.294617451
10,農業生物科技研究中心,19.0,312051.75621563045,2770682.673443336
21,中央研究院活動中心,20.0,311829.1725396441,2770444.4624504405
14,中國文哲研究所,21.0,311783.98002858047,2770563.1455869726
23,地球科學研究所,22.0,311959.6817538372,2770391.66746088
22,中央研究院綜合體育館,23.0,311897.5948461144,2770402.6488187085
20,人文社會科學館,24.0,311699.5080452841,2770458.400327684
24,環境變遷研究中心,25.0,311955.03579475597,2770353.6550683966
13,植物分子育種溫室,26.0,311763.7067525894,2770646.350490518
12,中央研究院溫室,27.0,311626.4397797326,2770641.2821715204
46,環境變遷研究大樓,28.0,311948.1759980335,2770322.4592655287
27,化學研究所,30.0,312120.1785221005,2770493.4562007515
26,人文社會科學研究中心,31.0,312080.47668995126,2770481.63012309
25,資訊科學研究所,32.0,312031.06057972275,2770462.201566932
35,物理學研究所,33.0,312255.33369537484,2770461.3568470995
36,胡適紀念館,34.0,312194.51386740146,2770408.984217456
40,近代史研究所,35.0,312127.35864068073,2770363.369346476
33,近史所,35.0,312129.04808034666,2770392.512180713
34,近代史研究所,35.0,312147.63191667193,2770408.984217456
41,歐美所圖書館,36.0,312076.25309078646,2770307.6178375003
42,歐美研究所,36.0,312122.2903216829,2770303.394238336
43,歷史語言研究所,37.0,312181.4207099905,2770308.462557333
38,傅斯年圖書館,38.0,312230.83682021894,2770388.2885815483
37,經濟學研究所,39.0,312282.3647300298,2770380.263743135
44,民族學研究所,40.0,312259.13493462326,2770267.91600535
32,嶺南美術館/歐美所,41.0,312046.6878966326,2770392.934540629
31,近史所檔案館,42.0,312066.1164527908,2770427.990413697
39,臺灣考古館,43.0,312188.1784686542,2770362.946986559
47,中研院宿舍群,50.0,312270.65668557567,2770745.5182131124
1,國際研究生教學研究大樓/幼稚園,60.0,311858.3153738815,2771187.3935435326
11,生物多樣性研究博物館,,312104.5512051906,2770706.3255986595
16,動物房,,312039.93013796885,2770569.480985719
19,歸國學人宿舍,,311765.39619225526,2770466.002806181
